$FLYS,1,,,,,,,,,,,
$VAR,FIRMWARE_VER,v2024.06.09.starter_pistol,,,,,,,,,,
$VAR,DEVICE_ID,0017003b3253501720373657,,,,,,,,,,
$VAR,SESSION_ID,724fd609f62a5cb068670fc0,,,,,,,,,,
$COL,GNSS,time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,numSV
$UNIT,GNSS,,deg,deg,m,m/s,m/s,m/s,m,m,m/s,
$DATA,,,,,,,,,,,,
$GNSS,2025-06-25T17:18:42.750Z,40.6628388,-115.4065247,3161.322,-0.093,0.329,0.053,0.376,0.739,0.168,16,
$GNSS,2025-06-25T17:18:42.800Z,40.6628388,-115.4065245,3161.325,0.037,0.278,0.038,0.376,0.74,0.157,16,
$GNSS,2025-06-25T17:18:42.850Z,40.6628388,-115.4065244,3161.328,0.071,0.191,-0.004,0.376,0.74,0.158,16,
$GNSS,2025-06-25T17:18:42.900Z,40.6628388,-115.4065243,3161.326,-0.069,0.128,0.044,0.376,0.741,0.178,16,
$GNSS,2025-06-25T17:18:42.950Z,40.6628387,-115.4065243,3161.321,-0.088,0.058,0.064,0.376,0.741,0.203,16,
$GNSS,2025-06-25T17:18:43.000Z,40.6628388,-115.4065242,3161.325,0.049,0.084,-0.02,0.377,0.742,0.168,16,
$GNSS,2025-06-25T17:18:43.050Z,40.6628388,-115.4065242,3161.339,0.053,0.031,-0.091,0.377,0.742,0.229,16,
$GNSS,2025-06-25T17:18:43.100Z,40.6628388,-115.4065242,3161.343,0.036,0.004,-0.057,0.377,0.742,0.23,16,
$GNSS,2025-06-25T17:18:43.150Z,40.6628388,-115.4065243,3161.342,0.06,-0.133,0.027,0.377,0.743,0.176,16,
$GNSS,2025-06-25T17:18:43.200Z,40.6628388,-115.4065243,3161.329,-0.009,0.029,0.124,0.377,0.743,0.227,16,
$GNSS,2025-06-25T17:18:43.250Z,40.6628387,-115.4065242,3161.328,-0.116,0.104,0.079,0.377,0.744,0.193,16,
$GNSS,2025-06-25T17:18:43.300Z,40.6628387,-115.4065241,3161.331,-0.023,0.183,0.068,0.377,0.744,0.166,16,
$GNSS,2025-06-25T17:18:43.350Z,40.6628387,-115.406524,3161.322,0.009,0.077,0.153,0.378,0.745,0.211,16,
$GNSS,2025-06-25T17:18:43.400Z,40.6628388,-115.406524,3161.314,0.104,0.135,0.105,0.378,0.745,0.165,16,
$GNSS,2025-06-25T17:18:43.450Z,40.6628388,-115.4065239,3161.319,0.083,0.157,0.065,0.378,0.745,0.154,16,
$GNSS,2025-06-25T17:18:43.500Z,40.6628388,-115.4065237,3161.324,-0.042,0.224,0.099,0.378,0.746,0.17,16,
$GNSS,2025-06-25T17:18:43.550Z,40.6628388,-115.4065236,3161.328,0.055,0.262,0.068,0.378,0.746,0.153,16,
$GNSS,2025-06-25T17:18:43.600Z,40.6628388,-115.4065234,3161.324,-0.037,0.255,0.057,0.378,0.746,0.162,16,
$GNSS,2025-06-25T17:18:43.650Z,40.6628388,-115.4065233,3161.315,-0.062,0.208,0.097,0.378,0.747,0.173,16,
$GNSS,2025-06-25T17:18:43.700Z,40.6628387,-115.4065231,3161.32,-0.095,0.248,0.065,0.378,0.747,0.169,16,
$GNSS,2025-06-25T17:18:43.750Z,40.6628386,-115.406523,3161.31,-0.171,0.192,0.221,0.378,0.747,0.201,16,
$GNSS,2025-06-25T17:18:43.800Z,40.6628386,-115.406523,3161.302,-0.159,0.131,0.229,0.379,0.748,0.211,16,
$GNSS,2025-06-25T17:18:43.850Z,40.6628385,-115.4065228,3161.295,-0.234,0.194,0.159,0.379,0.748,0.193,16,
$GNSS,2025-06-25T17:18:43.900Z,40.6628384,-115.4065228,3161.28,-0.205,0.061,0.235,0.379,0.748,0.218,16,
$GNSS,2025-06-25T17:18:43.950Z,40.6628383,-115.4065228,3161.279,-0.127,-0.016,0.226,0.379,0.749,0.229,16,
$GNSS,2025-06-25T17:18:44.000Z,40.6628382,-115.4065228,3161.267,-0.152,-0.031,0.202,0.379,0.749,0.223,16,
$GNSS,2025-06-25T17:18:44.050Z,40.6628382,-115.4065228,3161.266,-0.159,-0.033,0.039,0.379,0.749,0.183,16,
$GNSS,2025-06-25T17:18:44.100Z,40.6628382,-115.4065229,3161.264,0.008,-0.081,0.028,0.379,0.75,0.176,16,
$GNSS,2025-06-25T17:18:44.150Z,40.6628381,-115.4065229,3161.267,-0.101,-0.068,0.092,0.379,0.75,0.205,16,
$GNSS,2025-06-25T17:18:44.200Z,40.6628381,-115.406523,3161.267,-0.071,-0.069,0.11,0.379,0.75,0.216,16,
$GNSS,2025-06-25T17:18:44.250Z,40.662838,-115.406523,3161.253,-0.132,-0.045,0.17,0.38,0.751,0.222,16,
$GNSS,2025-06-25T17:18:44.300Z,40.662838,-115.4065231,3161.247,-0.092,-0.106,0.163,0.38,0.751,0.217,16,
$GNSS,2025-06-25T17:18:44.350Z,40.662838,-115.4065231,3161.243,-0.027,-0.133,0.138,0.38,0.751,0.21,16,
$GNSS,2025-06-25T17:18:44.400Z,40.662838,-115.4065231,3161.229,-0.014,-0.033,0.111,0.38,0.752,0.232,16,
$GNSS,2025-06-25T17:18:44.450Z,40.662838,-115.4065232,3161.235,-0.057,-0.086,0.005,0.38,0.752,0.157,16,
$GNSS,2025-06-25T17:18:44.500Z,40.6628379,-115.4065232,3161.245,-0.093,-0.099,-0.003,0.38,0.752,0.156,16,
$GNSS,2025-06-25T17:18:44.550Z,40.6628379,-115.4065233,3161.241,-0.024,-0.156,0.073,0.38,0.753,0.182,16,
$GNSS,2025-06-25T17:18:44.600Z,40.6628378,-115.4065235,3161.231,-0.095,-0.18,0.182,0.38,0.753,0.208,16,
$GNSS,2025-06-25T17:18:44.650Z,40.6628378,-115.4065235,3161.228,-0.1,-0.115,0.097,0.38,0.753,0.198,16,
$GNSS,2025-06-25T17:18:44.700Z,40.6628377,-115.4065236,3161.228,-0.189,-0.136,0.071,0.381,0.754,0.18,16,
$GNSS,2025-06-25T17:18:44.750Z,40.6628376,-115.4065237,3161.224,-0.14,-0.144,0.073,0.381,0.754,0.178,16,
$GNSS,2025-06-25T17:18:44.800Z,40.6628376,-115.4065237,3161.215,-0.075,-0.088,0.157,0.381,0.754,0.221,16,
$GNSS,2025-06-25T17:18:44.850Z,40.6628376,-115.4065237,3161.207,-0.015,0.021,0.161,0.381,0.755,0.229,16,
