$FLYS,1,,,,,,,,,,,
$VAR,FIRMWARE_VER,v2024.06.09.starter_pistol,,,,,,,,,,
$VAR,DEVICE_ID,0017003b3253501720373657,,,,,,,,,,
$VAR,SESSION_ID,724fd609f62a5cb068670fc0,,,,,,,,,,
$COL,GNSS,time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,numSV
$GNSS,2025-06-25T17:18:44.900Z,40.6628376,-115.4065237,3161.201,-0.072,-0.036,0.138,0.381,0.755,0.227,16,
$GNSS,2025-06-25T17:18:44.950Z,40.6628375,-115.4065237,3161.193,-0.139,0.067,0.186,0.381,0.755,0.217,16,
$GNSS,2025-06-25T17:18:45.000Z,40.6628375,-115.4065236,3161.186,-0.051,0.145,0.213,0.381,0.756,0.204,16,
$GNSS,2025-06-25T17:18:45.050Z,40.6628375,-115.4065236,3161.176,-0.016,0.051,0.216,0.381,0.756,0.224,16,
$GNSS,2025-06-25T17:18:45.100Z,40.6628374,-115.4065236,3161.172,-0.027,0.036,0.147,0.381,0.756,0.225,16,
$GNSS,2025-06-25T17:18:45.150Z,40.6628374,-115.4065235,3161.165,-0.041,0.124,0.065,0.382,0.757,0.175,16,
$GNSS,2025-06-25T17:18:45.200Z,40.6628374,-115.4065233,3161.153,-0.062,0.229,0.132,0.382,0.757,0.176,16,
$GNSS,2025-06-25T17:18:45.250Z,40.6628374,-115.4065233,3161.159,-0.053,0.152,0.112,0.382,0.757,0.184,16,
$GNSS,2025-06-25T17:18:45.300Z,40.6628374,-115.4065232,3161.163,0.002,0.144,0.073,0.382,0.758,0.165,16,
$GNSS,2025-06-25T17:18:45.350Z,40.6628374,-115.4065231,3161.157,-0.023,0.108,0.072,0.382,0.758,0.178,16,
$GNSS,2025-06-25T17:18:45.400Z,40.6628374,-115.406523,3161.138,-0.024,0.175,0.13,0.382,0.759,0.18,16,
$GNSS,2025-06-25T17:18:45.450Z,40.6628373,-115.4065229,3161.132,-0.044,0.242,0.223,0.382,0.759,0.187,16,
$GNSS,2025-06-25T17:18:45.500Z,40.6628373,-115.4065228,3161.137,0.013,0.134,0.123,0.382,0.759,0.181,16,
$GNSS,2025-06-25T17:18:45.550Z,40.6628373,-115.4065227,3161.124,-0.12,0.076,0.176,0.382,0.759,0.217,16,
$GNSS,2025-06-25T17:18:45.600Z,40.6628373,-115.4065227,3161.119,-0.045,0.058,0.161,0.382,0.76,0.222,16,
$GNSS,2025-06-25T17:18:45.650Z,40.6628372,-115.4065228,3161.092,-0.159,-0.061,0.328,0.382,0.76,0.231,16,
$GNSS,2025-06-25T17:18:45.700Z,40.6628371,-115.4065227,3161.077,-0.098,0.067,0.38,0.383,0.76,0.229,16,
$GNSS,2025-06-25T17:18:45.750Z,40.6628371,-115.4065226,3161.042,-0.099,0.138,0.412,0.383,0.761,0.223,16,
$GNSS,2025-06-25T17:18:45.800Z,40.662837,-115.4065226,3161.038,-0.151,-0.035,0.274,0.383,0.761,0.23,16,
$GNSS,2025-06-25T17:18:45.850Z,40.662837,-115.4065227,3161.021,-0.12,-0.113,0.321,0.383,0.761,0.231,16,
$GNSS,2025-06-25T17:18:45.900Z,40.6628369,-115.4065227,3161.011,-0.157,0.001,0.282,0.383,0.762,0.231,16,
$GNSS,2025-06-25T17:18:45.950Z,40.6628368,-115.4065227,3161.003,-0.15,-0.028,0.177,0.383,0.762,0.223,16,
$GNSS,2025-06-25T17:18:46.000Z,40.6628368,-115.4065227,3160.997,-0.086,-0.023,0.19,0.383,0.762,0.233,16,
$GNSS,2025-06-25T17:18:46.050Z,40.6628367,-115.4065228,3160.987,-0.136,-0.125,0.246,0.383,0.763,0.224,16,
$GNSS,2025-06-25T17:18:46.100Z,40.6628367,-115.4065228,3160.98,-0.126,-0.056,0.211,0.383,0.763,0.228,16,
$GNSS,2025-06-25T17:18:46.150Z,40.6628366,-115.4065229,3160.97,-0.173,-0.055,0.182,0.383,0.763,0.217,16,
$GNSS,2025-06-25T17:18:46.200Z,40.6628366,-115.4065229,3160.946,-0.125,-0.043,0.189,0.383,0.763,0.226,16,
$GNSS,2025-06-25T17:18:46.250Z,40.6628365,-115.4065229,3160.927,-0.154,0.001,0.144,0.383,0.764,0.215,16,
$GNSS,2025-06-25T17:18:46.300Z,40.6628364,-115.4065229,3160.927,-0.143,-0.029,0.12,0.384,0.764,0.211,16,
$GNSS,2025-06-25T17:18:46.350Z,40.6628364,-115.406523,3160.915,-0.008,-0.112,0.168,0.384,0.764,0.221,16,
$GNSS,2025-06-25T17:18:46.400Z,40.6628363,-115.406523,3160.904,-0.219,-0.088,0.21,0.384,0.764,0.214,16,
$GNSS,2025-06-25T17:18:46.450Z,40.6628362,-115.406523,3160.893,-0.187,0,0.245,0.384,0.764,0.227,16,
$GNSS,2025-06-25T17:18:46.500Z,40.6628362,-115.406523,3160.871,-0.125,-0.041,0.287,0.384,0.764,0.232,16,
$GNSS,2025-06-25T17:18:46.550Z,40.6628361,-115.406523,3160.862,-0.116,0.008,0.19,0.384,0.764,0.229,16,
$GNSS,2025-06-25T17:18:46.600Z,40.6628361,-115.406523,3160.845,-0.212,-0.01,0.228,0.384,0.764,0.235,16,
$GNSS,2025-06-25T17:18:46.650Z,40.662836,-115.4065231,3160.84,-0.162,-0.073,0.136,0.384,0.765,0.225,16,
$GNSS,2025-06-25T17:18:46.700Z,40.662836,-115.406523,3160.829,-0.09,0.007,0.185,0.384,0.765,0.245,16,
$GNSS,2025-06-25T17:18:46.750Z,40.6628359,-115.4065231,3160.816,-0.113,-0.04,0.278,0.384,0.765,0.248,16,
$GNSS,2025-06-25T17:18:46.800Z,40.6628359,-115.406523,3160.806,-0.043,0.127,0.275,0.384,0.765,0.221,16,
$GNSS,2025-06-25T17:18:46.850Z,40.6628358,-115.4065229,3160.778,-0.192,0.188,0.445,0.384,0.765,0.228,16,
$GNSS,2025-06-25T17:18:46.900Z,40.6628357,-115.4065228,3160.749,-0.088,0.179,0.508,0.384,0.765,0.227,16,
$GNSS,2025-06-25T17:18:46.950Z,40.6628357,-115.4065227,3160.728,-0.035,0.077,0.462,0.384,0.765,0.235,16,
$GNSS,2025-06-25T17:18:47.000Z,40.6628357,-115.4065227,3160.715,-0.089,0.115,0.397,0.384,0.765,0.231,16,
$GNSS,2025-06-25T17:18:47.050Z,40.6628356,-115.4065226,3160.683,-0.165,0.128,0.468,0.384,0.766,0.233,16,
$GNSS,2025-06-25T17:18:47.100Z,40.6628356,-115.4065225,3160.663,-0.105,0.106,0.418,0.384,0.766,0.236,16,
$GNSS,2025-06-25T17:18:47.150Z,40.6628355,-115.4065224,3160.643,-0.141,0.15,0.492,0.384,0.766,0.233,16,
$GNSS,2025-06-25T17:18:47.200Z,40.6628354,-115.4065223,3160.622,-0.234,0.211,0.463,0.384,0.766,0.228,16,
$GNSS,2025-06-25T17:18:47.250Z,40.6628353,-115.4065222,3160.609,-0.192,0.202,0.336,0.385,0.766,0.218,16,
$GNSS,2025-06-25T17:18:47.300Z,40.6628353,-115.4065221,3160.596,-0.152,0.135,0.297,0.385,0.766,0.226,16,
$GNSS,2025-06-25T17:18:47.350Z,40.6628352,-115.4065221,3160.581,-0.162,0.044,0.388,0.385,0.766,0.242,16,
$GNSS,2025-06-25T17:18:47.400Z,40.6628351,-115.406522,3160.56,-0.222,0.192,0.428,0.385,0.766,0.224,16,
$GNSS,2025-06-25T17:18:47.450Z,40.662835,-115.4065218,3160.545,-0.29,0.252,0.338,0.385,0.766,0.211,16,
$GNSS,2025-06-25T17:18:47.500Z,40.6628348,-115.4065217,3160.531,-0.306,0.113,0.329,0.385,0.766,0.225,16,
$GNSS,2025-06-25T17:18:47.550Z,40.6628347,-115.4065218,3160.503,-0.414,0.007,0.35,0.385,0.767,0.227,16,
$GNSS,2025-06-25T17:18:47.600Z,40.6628345,-115.4065217,3160.495,-0.4,0.027,0.28,0.385,0.767,0.219,16,
$GNSS,2025-06-25T17:18:47.650Z,40.6628343,-115.4065216,3160.484,-0.426,0.173,0.29,0.385,0.767,0.206,16,
$GNSS,2025-06-25T17:18:47.700Z,40.6628341,-115.4065215,3160.466,-0.482,0.272,0.313,0.385,0.767,0.197,16,
$GNSS,2025-06-25T17:18:47.750Z,40.6628339,-115.4065213,3160.446,-0.416,0.215,0.324,0.385,0.767,0.209,16,
$GNSS,2025-06-25T17:18:47.800Z,40.6628336,-115.4065212,3160.414,-0.556,0.235,0.482,0.386,0.767,0.217,16,
$GNSS,2025-06-25T17:18:47.850Z,40.6628333,-115.406521,3160.373,-0.619,0.356,0.697,0.386,0.767,0.22,16,
$GNSS,2025-06-25T17:18:47.900Z,40.662833,-115.4065208,3160.316,-0.604,0.429,1.028,0.386,0.767,0.221,16,
$GNSS,2025-06-25T17:18:47.950Z,40.6628327,-115.4065205,3160.255,-0.628,0.507,1.225,0.386,0.768,0.222,16,
$GNSS,2025-06-25T17:18:48.000Z,40.6628324,-115.4065202,3160.171,-0.832,0.522,1.459,0.386,0.768,0.224,16,
$GNSS,2025-06-25T17:18:48.050Z,40.6628319,-115.40652,3160.089,-1.059,0.392,1.504,0.386,0.768,0.223,16,
$GNSS,2025-06-25T17:18:48.100Z,40.6628312,-115.4065196,3160.02,-1.508,0.689,1.58,0.386,0.768,0.21,16,
$GNSS,2025-06-25T17:18:48.150Z,40.6628302,-115.4065191,3159.942,-2.042,0.893,1.537,0.386,0.768,0.2,16,
$GNSS,2025-06-25T17:18:48.200Z,40.6628292,-115.4065184,3159.877,-2.467,1.027,1.18,0.386,0.768,0.186,16,
$GNSS,2025-06-25T17:18:48.250Z,40.6628277,-115.4065175,3159.842,-3.355,1.524,0.959,0.387,0.767,0.184,16,
$GNSS,2025-06-25T17:18:48.300Z,40.6628258,-115.4065164,3159.818,-4.109,1.828,0.87,0.387,0.767,0.182,16,
$GNSS,2025-06-25T17:18:48.350Z,40.6628234,-115.4065153,3159.786,-5.067,1.843,0.853,0.387,0.767,0.183,16,
$GNSS,2025-06-25T17:18:48.400Z,40.662821,-115.4065141,3159.763,-5.438,1.961,0.702,0.387,0.767,0.186,16,
$GNSS,2025-06-25T17:18:48.450Z,40.6628196,-115.4065135,3159.677,-3.238,1.276,1.14,0.387,0.767,0.209,16,
$GNSS,2025-06-25T17:18:48.500Z,40.6628185,-115.4065128,3159.523,-2.449,1.322,2.359,0.387,0.767,0.251,16,
$GNSS,2025-06-25T17:18:48.550Z,40.6628166,-115.4065116,3159.31,-3.814,2.036,3.515,0.387,0.767,0.25,16,
$GNSS,2025-06-25T17:18:48.600Z,40.6628145,-115.4065104,3159.08,-4.477,2.16,4.033,0.388,0.768,0.237,16,
$GNSS,2025-06-25T17:18:48.650Z,40.6628126,-115.4065093,3158.824,-4.133,2.009,4.479,0.388,0.768,0.267,16,
$GNSS,2025-06-25T17:18:48.700Z,40.662811,-115.4065083,3158.578,-3.717,1.782,4.692,0.388,0.769,0.247,16,
$GNSS,2025-06-25T17:18:48.750Z,40.6628094,-115.4065072,3158.307,-3.546,1.92,5.174,0.389,0.769,0.255,16,
$GNSS,2025-06-25T17:18:48.800Z,40.6628077,-115.4065063,3157.979,-3.545,1.703,5.828,0.389,0.77,0.257,16,
$GNSS,2025-06-25T17:18:48.850Z,40.662806,-115.4065052,3157.607,-3.79,1.827,6.443,0.389,0.77,0.255,16,
$GNSS,2025-06-25T17:18:48.900Z,40.6628043,-115.4065041,3157.232,-3.873,1.817,6.835,0.389,0.77,0.253,16,
$GNSS,2025-06-25T17:18:48.950Z,40.6628025,-115.4065032,3156.862,-3.979,1.605,7.183,0.389,0.77,0.248,16,
$GNSS,2025-06-25T17:18:49.000Z,40.6628007,-115.4065024,3156.461,-3.893,1.431,7.547,0.389,0.77,0.249,16,
$GNSS,2025-06-25T17:18:49.050Z,40.6627989,-115.4065015,3156.045,-3.952,1.586,7.974,0.39,0.77,0.248,16,
$GNSS,2025-06-25T17:18:49.100Z,40.6627972,-115.4065005,3155.576,-3.85,1.658,8.543,0.39,0.77,0.248,16,
$GNSS,2025-06-25T17:18:49.150Z,40.6627955,-115.4064996,3155.122,-3.855,1.653,8.842,0.39,0.77,0.246,16,
$GNSS,2025-06-25T17:18:49.200Z,40.6627937,-115.4064986,3154.632,-3.846,1.701,9.295,0.39,0.77,0.244,16,
$GNSS,2025-06-25T17:18:49.250Z,40.6627919,-115.4064977,3154.128,-3.887,1.57,9.719,0.39,0.77,0.245,16,
$GNSS,2025-06-25T17:18:49.300Z,40.6627902,-115.4064968,3153.6,-3.848,1.746,10.166,0.39,0.77,0.245,16,
$GNSS,2025-06-25T17:18:49.350Z,40.6627885,-115.4064957,3153.043,-3.85,1.839,10.637,0.39,0.77,0.245,16,
$GNSS,2025-06-25T17:18:49.400Z,40.6627867,-115.4064948,3152.445,-3.903,1.691,11.2,0.39,0.77,0.248,16,
$GNSS,2025-06-25T17:18:49.450Z,40.662785,-115.4064937,3151.844,-3.933,1.867,11.613,0.391,0.77,0.231,16,
$GNSS,2025-06-25T17:18:49.500Z,40.6627831,-115.4064926,3151.223,-4.049,1.854,12.081,0.391,0.77,0.229,16,
$GNSS,2025-06-25T17:18:49.550Z,40.6627813,-115.4064917,3150.585,-4.07,1.615,12.525,0.391,0.77,0.22,16,
$GNSS,2025-06-25T17:18:49.600Z,40.6627794,-115.4064908,3149.924,-4.174,1.659,12.904,0.391,0.77,0.221,16,
$GNSS,2025-06-25T17:18:49.650Z,40.6627774,-115.4064897,3149.245,-4.321,1.768,13.34,0.392,0.77,0.221,16,
$GNSS,2025-06-25T17:18:49.700Z,40.6627755,-115.4064885,3148.555,-4.224,1.98,13.737,0.392,0.77,0.221,16,
$GNSS,2025-06-25T17:18:49.750Z,40.6627737,-115.4064875,3147.811,-4.131,1.869,14.317,0.392,0.77,0.234,16,
$GNSS,2025-06-25T17:18:49.800Z,40.6627719,-115.4064864,3147.039,-4.188,1.862,14.789,0.392,0.77,0.236,16,
$GNSS,2025-06-25T17:18:49.850Z,40.66277,-115.4064852,3146.276,-4.247,2.054,15.038,0.393,0.77,0.236,16,
$GNSS,2025-06-25T17:18:49.900Z,40.6627679,-115.4064841,3145.48,-4.533,2.048,15.495,0.393,0.77,0.235,16,
$GNSS,2025-06-25T17:18:49.950Z,40.6627659,-115.4064829,3144.677,-4.461,2.013,15.86,0.393,0.77,0.235,16,
$GNSS,2025-06-25T17:18:50.050Z,40.6627619,-115.4064807,3143.003,-4.503,1.899,16.847,0.395,0.771,0.252,16,
$GNSS,2025-06-25T17:18:50.100Z,40.6627597,-115.4064794,3142.11,-4.712,2.123,17.387,0.395,0.771,0.232,16,
$GNSS,2025-06-25T17:18:50.150Z,40.6627576,-115.4064781,3141.194,-4.768,2.222,17.731,0.396,0.771,0.229,16,
$GNSS,2025-06-25T17:18:50.200Z,40.6627554,-115.4064769,3140.293,-4.906,2.103,18.014,0.396,0.771,0.227,16,
$GNSS,2025-06-25T17:18:50.250Z,40.6627532,-115.4064755,3139.361,-4.834,2.205,18.414,0.397,0.771,0.226,16,
$GNSS,2025-06-25T17:18:50.300Z,40.662751,-115.4064744,3138.366,-5.099,2.12,19.008,0.397,0.771,0.226,16,
$GNSS,2025-06-25T17:18:50.350Z,40.6627486,-115.4064728,3137.437,-4.975,2.483,19.177,0.398,0.771,0.226,16,
$GNSS,2025-06-25T17:18:50.400Z,40.6627463,-115.4064712,3136.449,-5.067,2.527,19.594,0.398,0.771,0.23,16,
$GNSS,2025-06-25T17:18:50.450Z,40.6627439,-115.4064698,3135.436,-5.275,2.419,19.921,0.399,0.771,0.229,16,
$GNSS,2025-06-25T17:18:50.500Z,40.6627415,-115.4064686,3134.39,-5.573,2.212,20.331,0.399,0.769,0.208,16,
$GNSS,2025-06-25T17:18:50.550Z,40.6627388,-115.4064671,3133.352,-5.861,2.418,20.502,0.398,0.768,0.198,16,
$GNSS,2025-06-25T17:18:50.600Z,40.6627363,-115.4064657,3132.27,-5.948,2.419,20.902,0.398,0.767,0.194,16,
$GNSS,2025-06-25T17:18:50.650Z,40.6627337,-115.4064643,3131.166,-6.133,2.522,21.392,0.398,0.766,0.195,16,
$GNSS,2025-06-25T17:18:50.700Z,40.6627309,-115.4064627,3130.079,-6.216,2.646,21.666,0.398,0.765,0.196,16,
$GNSS,2025-06-25T17:18:50.750Z,40.662728,-115.4064611,3128.98,-6.407,2.659,21.998,0.398,0.764,0.199,16,
$GNSS,2025-06-25T17:18:50.800Z,40.6627249,-115.4064595,3127.855,-6.848,2.733,22.334,0.398,0.763,0.2,16,
$GNSS,2025-06-25T17:18:50.850Z,40.6627219,-115.4064579,3126.675,-7.023,2.789,22.747,0.398,0.761,0.193,16,
$GNSS,2025-06-25T17:18:50.900Z,40.6627187,-115.4064562,3125.516,-7.189,2.967,22.952,0.398,0.76,0.202,16,
$GNSS,2025-06-25T17:18:50.950Z,40.6627152,-115.4064544,3124.381,-7.577,2.974,22.97,0.398,0.759,0.197,16,
$GNSS,2025-06-25T17:18:51.000Z,40.6627115,-115.4064526,3123.242,-8.001,2.856,23.03,0.398,0.759,0.208,16,
$GNSS,2025-06-25T17:18:51.050Z,40.6627078,-115.4064509,3122.074,-8.333,2.979,23.231,0.398,0.758,0.214,16,
$GNSS,2025-06-25T17:18:51.100Z,40.662704,-115.406449,3120.887,-8.561,3.188,23.531,0.398,0.757,0.218,16,
$GNSS,2025-06-25T17:18:51.150Z,40.6627001,-115.4064471,3119.685,-8.806,3.314,23.801,0.398,0.756,0.221,16,
$GNSS,2025-06-25T17:18:51.200Z,40.6626961,-115.406445,3118.472,-9.131,3.469,24.03,0.399,0.755,0.221,16,
$GNSS,2025-06-25T17:18:51.250Z,40.6626917,-115.4064431,3117.27,-9.644,3.344,24.074,0.399,0.755,0.219,16,
$GNSS,2025-06-25T17:18:51.300Z,40.6626871,-115.4064409,3116.076,-10.015,3.531,24.093,0.399,0.754,0.218,16,
$GNSS,2025-06-25T17:18:51.350Z,40.6626826,-115.4064388,3114.849,-10.129,3.611,24.33,0.399,0.753,0.217,16,
$GNSS,2025-06-25T17:18:51.400Z,40.6626779,-115.4064366,3113.619,-10.514,3.664,24.399,0.399,0.753,0.215,16,
$GNSS,2025-06-25T17:18:51.450Z,40.662673,-115.4064344,3112.403,-10.932,3.812,24.437,0.399,0.752,0.21,16,
$GNSS,2025-06-25T17:18:51.500Z,40.6626679,-115.406432,3111.153,-11.296,4.017,24.744,0.399,0.751,0.209,16,
$GNSS,2025-06-25T17:18:51.550Z,40.6626627,-115.4064296,3109.906,-11.595,4.057,24.834,0.399,0.751,0.208,16,
$GNSS,2025-06-25T17:18:51.600Z,40.6626574,-115.4064271,3108.654,-11.871,4.137,24.965,0.4,0.75,0.207,16,
$GNSS,2025-06-25T17:18:51.650Z,40.6626519,-115.4064246,3107.404,-12.151,4.187,25.025,0.4,0.749,0.205,16,
$GNSS,2025-06-25T17:18:51.700Z,40.6626462,-115.406422,3106.143,-12.589,4.39,25.166,0.4,0.749,0.203,16,
$GNSS,2025-06-25T17:18:51.750Z,40.6626404,-115.4064194,3104.879,-12.894,4.461,25.25,0.4,0.748,0.201,16,
$GNSS,2025-06-25T17:18:51.800Z,40.6626345,-115.4064168,3103.604,-13.102,4.441,25.371,0.4,0.747,0.199,16,
$GNSS,2025-06-25T17:18:51.850Z,40.6626285,-115.4064142,3102.307,-13.411,4.478,25.646,0.4,0.747,0.198,16,
$GNSS,2025-06-25T17:18:51.900Z,40.6626223,-115.4064114,3101.026,-13.736,4.53,25.7,0.4,0.746,0.197,16,
$GNSS,2025-06-25T17:18:51.950Z,40.662616,-115.4064088,3099.721,-14.179,4.568,25.801,0.401,0.745,0.195,16,
$GNSS,2025-06-25T17:18:52.000Z,40.6626095,-115.4064061,3098.416,-14.516,4.593,25.817,0.401,0.745,0.194,16,
$GNSS,2025-06-25T17:18:52.050Z,40.6626028,-115.4064032,3097.148,-14.748,4.771,25.742,0.401,0.744,0.188,16,
$GNSS,2025-06-25T17:18:52.100Z,40.6625959,-115.4064003,3095.862,-15.126,4.814,25.843,0.401,0.743,0.187,16,
$GNSS,2025-06-25T17:18:52.150Z,40.662589,-115.4063975,3094.547,-15.449,4.733,25.982,0.401,0.742,0.188,16,
$GNSS,2025-06-25T17:18:52.200Z,40.6625819,-115.4063949,3093.199,-15.879,4.626,26.252,0.401,0.741,0.187,16,
$GNSS,2025-06-25T17:18:52.250Z,40.6625745,-115.406392,3091.904,-16.219,4.782,26.117,0.402,0.74,0.188,16,
$GNSS,2025-06-25T17:18:52.300Z,40.6625669,-115.4063889,3090.635,-16.548,4.895,25.895,0.402,0.739,0.19,16,
$GNSS,2025-06-25T17:18:52.350Z,40.6625593,-115.4063861,3089.315,-16.958,4.805,26.012,0.402,0.738,0.191,16,
$GNSS,2025-06-25T17:18:52.400Z,40.6625516,-115.4063833,3087.976,-17.187,4.796,26.2,0.402,0.737,0.191,16,
$GNSS,2025-06-25T17:18:52.450Z,40.6625437,-115.4063805,3086.653,-17.492,4.836,26.276,0.402,0.736,0.191,16,
$GNSS,2025-06-25T17:18:52.500Z,40.6625357,-115.4063776,3085.341,-17.791,4.833,26.275,0.402,0.736,0.191,16,
$GNSS,2025-06-25T17:18:52.550Z,40.6625274,-115.4063747,3084.036,-18.122,4.827,26.209,0.403,0.735,0.188,16,
